Time,Velocity,Acceleration,Altitude,Thrust
0,0,-3.351797405,0,14.5
0.01,0,-2.635838059,0,14.5
0.02,0,-1.91953012,0,14.5
0.03,0,-1.202873333,0,14.5
0.04,0,-0.485867442,0,14.5
0.05,0.002314878,0.231487808,3.96E-06,14.5
0.06,0.011806805,0.949192666,2.81E-05,14.5
0.07,0.028479277,1.667247263,9.70E-05,14.5
0.08,0.052335792,2.385651442,0.000235203,14.5
0.09,0.083379839,3.104404733,0.000467291,14.5
0.1,0.121614903,3.82350635,0.000817852,14.5
0.11,0.167044455,4.542955193,0.001311489,14.5
0.12,0.219671953,5.262749847,0.001972813,14.5
0.13,0.279500839,5.98288858,0.002826449,14.5
0.14,0.346534532,6.703369339,0.003897032,14.5
0.15,0.420945685,7.441115312,0.005209501,14.5
0.16,0.503414937,8.246925136,0.00679025,14.5
0.17,0.59394603,9.053109371,0.008666848,14.5
0.18,0.692542673,9.859664247,0.010866874,14.5
0.19,0.799208529,10.66658559,0.013417918,14.5
0.2,0.913947217,11.47386884,0.016347587,14.5
0.21,1.036762307,12.281509,0.019683497,14.5
0.22,1.167657314,13.0895007,0.023453277,14.5
0.23,1.306775437,13.91181225,0.027684806,14.5
0.24,1.454679236,14.79037992,0.032407171,14.5
0.25,1.611372362,15.66931261,0.037650428,14.5
0.26,1.776858389,16.54860267,0.043444644,14.5
0.27,1.951140808,17.42824197,0.049819898,14.5
0.28,2.134223027,18.30822188,0.056806282,14.5
0.29,2.32610836,19.18853328,0.064433898,14.5
0.3,2.526970355,20.08619948,0.072733151,14.5
0.31,2.736925785,20.99554302,0.081734944,14.5
0.32,2.955977785,21.90520001,0.091470382,14.5
0.33,3.184129375,22.81515904,0.101970584,14.5
0.34,3.421383457,23.72540813,0.113266676,14.5
0.35,3.667742805,24.63593481,0.125389796,14.5
0.36,3.925469106,25.77263008,0.138374953,14.5
0.37,4.195534196,27.00650908,0.152262687,14.5
0.38,4.477941733,28.24075366,0.167095204,14.5
0.39,4.770441615,29.24998816,0.182910871,14.5
0.4,5.072472669,30.20310547,0.199743246,14.5
0.41,5.384036855,31.15641854,0.21762493,14.5
0.42,5.703659487,31.9622632,0.236586008,14.5
0.43,6.018050145,31.4390658,0.256631312,14.5
0.44,6.327204814,30.91546694,0.277742941,14.5
0.45,6.631119579,30.39147644,0.299902981,14.5
0.46,6.929790618,29.86710398,0.323093503,14.5
0.47,7.223214209,29.34235907,0.347296567,14.5
